Map|Map description|mod|numSSG|numNG|numSNG|numGL|numRL|numLG|numShellsSmall|numShellsBig|numNailsSmall|numNailsBig|numCellsSmall|numCellsBig|numRocketsSmall|numRocketsBig|numHealthSmall|numHealthBig|numMegaHealth|numGA|numYA|numRA|numQuads|numRings|numPents|numEnviroSuits|numSpawns|numTeleports|numSecrets|numSecretDoors
e4m5|Hell s Atrium|dm|4|4|3|4|2|2|2|2|8|9|7|7|9|3|6|16|1|2|1|1|5|2|3|0|7|18|4|1
e4m6|The Pain Maze|dm|3|1|2|3|1|3|5|5|8|4|4|9|10|1|5|12|2|1|1|1|3|3|1|3|11|18|4|4
e4m7|Azure Agony|dm|3|2|2|3|2|2|2|5|8|9|6|5|9|4|2|17|3|1|1|1|6|2|1|1|7|12|9|2
e4m8|the Nameless City|dm|3|2|3|3|3|2|6|2|2|5|11|7|7|1|9|19|1|2|0|1|4|2|1|0|7|4|4|3
end|Shub Niggurath s Pit|dm|1|1|2|2|2|1|0|2|4|0|0|5|0|4|1|14|0|0|0|1|1|0|0|0|4|21|1|0
start|Introduction|dm|1|1|1|1|1|1|2|0|0|3|3|0|4|0|0|4|0|0|1|1|1|0|0|0|6|9|0|0
xe1m7_wip01|   beta map|dm|2|1|0|2|2|0|6|0|0|4|0|0|2|0|0|17|0|0|0|1|1|0|0|0|9|1|0|0
xe1m7_wip02|Aedes Conflictum|dm|1|1|1|2|2|0|4|0|0|4|0|0|2|0|0|17|0|1|0|1|1|0|0|0|9|3|0|0
xl1|XL Paying Respects|dm|2|1|1|1|1|1|4|0|0|5|3|0|3|0|0|4|1|0|1|0|0|0|0|0|5|3|0|0
xl1dm1|XL Paying Respects|dm|2|1|1|1|1|1|4|0|0|5|3|0|3|0|0|4|1|0|1|0|0|0|0|0|5|3|0|0
xl1dm2|XL Dust|dm|2|1|1|1|1|1|0|1|1|0|0|1|0|1|1|0|0|2|0|1|1|0|0|0|6|3|0|0
xl1dm3|XL Braving the Elements|dm|1|1|1|1|1|1|8|0|0|8|7|0|9|0|0|8|1|2|1|1|1|0|0|0|5|4|0|0
xl1dm4|XL Game Over|dm|1|1|1|1|1|1|0|1|1|0|0|1|0|1|1|0|0|1|0|1|1|0|0|0|7|4|0|0
xl1dm5|XL Forever Nightmare|dm|1|1|1|1|1|1|3|0|0|5|5|0|6|0|2|6|1|0|1|1|1|0|0|0|5|0|0|0
xl1dm6|XL Say It Ain t So|dm|1|0|1|1|1|1|7|0|0|5|3|0|8|2|3|4|1|1|0|1|0|0|0|0|6|2|0|0
xl1dm7|XL Sole Survivor|dm|1|1|1|1|1|1|2|2|1|6|5|2|6|2|4|4|1|1|1|1|0|1|0|0|7|0|0|0
xmasfun|XmasBIGGAME   by Rorshach|dm|2|1|2|2|2|1|2|4|6|2|0|5|4|2|0|27|1|1|3|1|1|1|0|0|8|4|0|0
xmastree|QuakeWorld Christmas by MisYu|dm|3|4|4|2|4|1|3|1|2|6|5|3|5|1|0|19|4|5|2|3|5|4|6|0|29|1|0|0
xnkspeed02|(null)|dm|0|0|1|1|1|1|0|0|0|2|1|0|3|0|0|8|0|0|1|1|0|0|0|0|8|0|0|0
xntrick|Trick or Treat  \http   www planetquake com xenon|dm|1|1|1|1|1|0|1|1|2|2|0|0|2|2|0|6|1|0|1|1|1|0|0|0|4|2|0|0
xomis|xomis|dm|1|1|2|1|3|2|5|0|2|8|6|2|10|1|0|29|3|1|3|2|0|0|0|0|5|2|0|0
xphogtooth|(null)|dm|0|1|1|1|0|1|0|0|2|0|0|1|0|1|0|0|0|0|4|0|0|0|0|0|4|8|0|0
xploadzone|(null)|dm|2|1|3|1|1|0|0|2|2|1|0|0|1|0|0|4|1|5|0|0|0|0|0|0|4|4|0|0
xpulse0|x pulse 0  The experiment \by Richard Jaspars  c  1997|dm|3|3|3|1|2|1|3|0|0|5|2|0|4|0|0|5|1|1|1|1|1|1|0|0|8|1|0|1
xtc|X T C  by Deft for Project1 QC patch |dm|1|1|1|1|1|1|0|0|2|0|0|4|2|1|2|3|1|1|1|1|1|1|0|0|5|1|0|0
yahead|QuakeDM Version 1 10|dm|2|0|1|2|2|0|11|0|0|0|0|0|2|0|0|5|0|0|2|0|0|0|1|0|4|0|0|0
yeahdude|Yeah Dude  |dm|1|1|1|1|1|1|2|0|0|2|3|0|9|0|0|5|0|0|2|0|0|0|0|1|4|2|0|0
yeargh|The Strange Place   Made by MasterMind|dm|2|0|2|0|1|1|4|0|0|4|2|1|8|0|0|0|1|4|1|1|1|0|0|0|4|1|0|0
yes|VTB By Gilmour|dm|1|0|1|1|1|1|0|0|0|0|0|0|1|0|0|2|0|0|1|0|1|1|1|0|6|2|0|0
yog1dm1|Ball to the Wall by Yogi|dm|1|0|1|1|1|0|2|0|0|4|0|0|3|0|0|1|1|1|1|0|1|0|0|0|4|0|0|0
yoom|(null)|dm|2|2|1|3|1|1|3|3|3|5|6|1|9|4|0|23|1|1|1|1|1|1|0|0|7|0|0|1
youandme|YOUandME by  Rancid |dm|1|0|1|1|2|1|0|0|0|1|4|0|3|0|5|6|1|0|2|0|1|0|0|0|6|3|0|0
yparty|YQP Anniversary Special|dm|2|2|5|5|8|3|0|10|10|0|0|12|0|11|12|9|2|1|2|3|2|1|2|0|20|0|0|0
ypdm1|YppytzDM|dm|1|1|1|1|1|1|0|5|5|0|0|3|6|7|4|6|1|1|1|1|1|1|0|0|5|0|0|0
ypdm2|YPDM2 The Graveyard|dm|1|1|1|1|1|1|0|7|5|5|0|4|5|7|2|3|1|1|1|1|1|1|0|0|8|2|0|0
ypdm3|YPDM3Beaches of Blood|dm|1|1|1|1|1|1|2|3|3|2|7|3|12|3|4|5|1|1|1|1|1|0|0|0|8|0|0|1
yrmom|Your Mother\Jeff Blaine  c  1997|dm|1|1|1|1|2|1|0|1|2|1|2|2|1|1|0|4|0|2|0|0|0|0|0|0|6|6|0|0
z3|Gib Time|dm|3|0|1|1|1|1|9|0|0|4|6|0|9|0|0|9|0|0|2|1|2|1|0|0|5|1|0|2
zabba|zabbadeath|dm|1|1|1|1|2|1|0|0|0|2|0|0|5|0|0|6|1|1|1|0|0|0|0|0|7|2|0|0
zailkeep|ZAIL KEEP|dm|1|1|1|1|0|0|6|0|2|4|0|0|0|4|6|8|1|1|1|0|0|0|0|0|6|1|0|1
zarena|Zaphods DM Arena|dm|1|0|1|1|2|0|1|2|2|1|0|0|2|3|0|4|0|0|1|0|0|0|1|0|8|5|1|1
zdeath1|(null)|dm|1|2|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|1|2|0|0|0|0|0|8|0|0|0
zecrets|secret area  |dm|1|1|4|1|8|3|2|0|0|2|0|0|5|0|0|1|0|1|1|4|3|2|3|0|1|0|4|10
zed| zed      vondur |dm|0|0|1|2|1|1|0|0|3|0|0|3|2|1|0|4|1|0|1|1|1|1|0|0|10|5|0|0
zed_o| zed      vondur \With OmicronBot Support|dm|0|0|1|2|1|1|0|0|3|0|0|3|2|1|0|4|1|0|1|1|1|1|0|0|10|5|0|0
zen|It Became a Weapon                   By Screeling|dm|1|1|1|1|2|1|0|1|1|3|4|1|4|1|4|3|1|2|1|1|1|0|0|0|7|3|0|0
zerdm1|Brainwash|dm|2|3|3|1|2|1|5|1|6|0|4|2|6|2|8|8|2|2|2|0|1|1|0|0|10|6|0|0
zerdm2|Sparsatorium|dm|5|3|2|2|2|1|5|0|5|5|7|1|5|1|0|22|3|3|3|0|0|1|0|0|12|5|0|1
zerdm4|brutalizer|dm|2|3|1|1|2|2|1|2|4|0|0|3|0|3|3|4|1|1|1|1|2|2|0|0|12|4|0|0
zerdm5|Blood Base|dm|1|2|1|0|1|1|2|2|0|4|1|2|3|0|5|3|1|1|1|0|0|0|0|0|5|2|0|0
zerg1b|Elder God Castle|dm|0|0|0|0|0|0|0|2|2|0|0|2|0|2|4|16|3|1|4|4|1|2|1|0|1|7|3|0
zerg2|The Bridge|dm|0|0|0|0|0|0|0|2|2|0|0|2|0|2|0|14|2|1|1|1|0|0|0|0|2|3|1|0
zero|Apocalypse   by ZERO|dm|1|1|1|1|2|1|1|0|0|5|3|0|6|0|0|18|1|1|1|1|1|1|1|0|10|8|0|2
zervsdm6|(null)|dm|2|0|3|2|0|0|6|0|0|3|0|0|0|0|0|7|1|3|1|0|1|0|0|0|7|2|0|0
zigzag|(null)|dm|1|0|1|4|1|0|2|0|0|2|0|0|3|0|0|8|0|2|0|1|0|0|0|0|8|4|0|1
zoiddm1|Blind Possession|dm|2|1|1|1|2|0|8|1|5|5|0|0|3|1|7|15|2|2|1|1|1|0|0|0|12|5|0|0
zones|The Zones of Death|dm|3|5|5|3|2|0|15|0|0|17|0|0|1|0|0|15|0|4|0|0|0|0|0|0|20|5|0|0
zop-dm3|the big abandoned base|dm|1|1|1|1|1|1|5|4|4|7|2|1|4|3|3|4|3|0|1|1|1|1|1|0|6|2|0|0
zop-dm6|the odd dark zone|dm|1|1|1|1|2|1|1|0|0|0|2|2|1|0|8|3|1|1|0|0|0|1|0|0|7|4|0|1
zordm1|Fortress of Sins  by Zorilla|dm|1|1|1|1|1|1|0|1|1|1|0|2|3|0|10|4|0|1|1|1|1|0|0|0|10|0|0|0
zordm2|Silicon Sanctuary  by Zorilla|dm|0|1|1|1|1|1|0|0|0|5|2|0|1|1|7|0|0|1|1|1|1|0|0|0|7|0|0|0
zorscath|Zor s Cathedral|dm|5|1|3|6|5|3|17|0|8|7|15|2|23|0|23|28|7|5|3|5|6|2|4|3|27|22|0|6
ztnbase|The Z T N  Base|dm|2|1|2|1|2|2|3|2|2|2|5|1|4|2|4|10|3|3|2|2|1|0|1|0|12|9|0|0
ztndm1|Smile  It Gets Worse|dm|1|1|1|1|2|1|1|0|0|3|5|0|1|1|4|1|1|1|1|1|0|0|0|0|6|1|0|0
ztndm2|Show No Mercy|dm|1|1|1|1|2|1|1|1|1|2|0|2|1|1|3|5|1|1|1|1|0|0|0|0|7|2|0|0
ztndm3|Blood Run|dm|1|1|1|1|2|1|1|1|2|3|0|2|2|2|9|4|1|2|1|1|1|0|0|0|7|2|0|0
ztndm3a|Blood Run   vb edit|dm|1|1|1|1|2|1|1|1|2|3|0|2|2|2|7|5|1|2|1|1|1|0|0|0|7|2|0|0
ztndm3q|Blood Run by ztn\\modified by qurnel|dm|1|1|1|1|2|1|1|1|2|3|0|2|2|1|9|4|1|1|2|1|1|0|0|0|7|2|0|0
ztndm4|The Steeler|dm|1|1|1|1|2|1|0|1|2|1|1|2|3|4|3|7|1|1|1|1|1|0|0|0|7|3|0|0
ztndm5|Painkiller|dm|1|1|1|1|2|1|0|1|1|1|2|0|1|0|4|3|0|1|1|1|0|0|0|0|5|2|0|0
ztndm6| The Vomitorium  by ztn|dm|1|0|1|1|2|1|1|2|3|1|3|1|1|3|7|2|1|2|1|1|1|0|0|0|6|6|0|0
ztown1|The AmmoShack|dm|3|0|2|2|2|1|6|0|4|3|6|0|12|3|0|15|1|1|1|1|1|1|1|0|8|1|0|0
zxcdm1| the shine by     |dm|1|0|0|1|2|1|2|0|0|0|1|1|1|3|2|5|1|0|2|0|1|0|0|0|6|2|0|0
wdm2|Wicked Deathmatch II|dm|1|0|2|1|2|0|2|0|0|3|0|0|2|0|0|5|0|0|2|1|0|0|0|0|6|2|0|0
wdm3|the Fusion|dm|0|0|1|2|1|1|2|1|0|7|3|1|4|1|8|5|0|0|2|1|0|0|0|0|5|5|0|0
wdm4|         |dm|1|0|0|2|2|1|5|0|0|0|5|0|4|0|7|0|0|1|1|1|0|0|0|0|6|1|0|0
wdwdm|WdW DM1 Arena   c  WdW  97  wdwbest cybercomm nl|dm|0|1|1|1|1|0|0|4|4|0|0|0|1|1|0|2|1|1|0|0|0|0|0|0|6|3|0|2
weapon|It Became a Weapon                   By Screeling|dm|1|1|1|1|2|1|0|1|1|3|4|1|4|1|4|3|1|2|1|1|1|0|0|0|7|3|0|0
webbydm1|Webby s World|dm|2|0|1|1|3|1|3|0|4|1|0|5|4|0|4|2|1|2|2|1|0|0|0|0|6|3|0|0
webbydm2|Webby s Clan WarGround|dm|2|0|2|2|2|2|6|0|6|2|0|14|12|0|8|8|2|4|4|0|1|0|1|0|10|8|0|0
weep|weep|dm|1|1|1|1|2|1|0|1|4|1|0|5|6|0|0|7|2|1|1|2|0|0|0|0|6|2|0|0
weex1|WeeX One|dm|1|0|1|1|1|1|2|0|0|5|2|0|6|0|0|0|0|0|0|0|0|0|0|0|6|0|0|0
weighty|Weightfulness|dm|0|0|8|1|1|1|0|1|13|0|0|5|2|3|0|12|2|0|1|1|1|1|0|0|15|2|0|0
welt|\ \ ELT    by Spade|dm|1|1|1|1|1|1|6|0|0|5|3|0|5|0|0|2|0|1|1|0|1|1|0|0|8|0|0|0
werddm1|WerdDM1   The Missile Base\   Released for the 2001 QExpo\   ewerd zbzoom net   |dm|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|0|0|0
werddm2|WerdDM2   Cranial Dismemberment\by E werd|dm|1|1|1|1|1|1|0|1|3|0|2|0|0|3|0|8|0|1|1|1|1|0|0|0|6|3|0|0
wet01|All Wet   beta 1   rocketman|dm|1|0|1|2|2|3|3|0|0|3|6|0|10|0|0|6|1|0|2|1|1|0|0|0|7|3|0|0
wetdeath|Walls of Liquid Death|dm|1|1|1|1|1|1|3|0|0|5|3|0|3|0|0|8|0|0|1|1|2|2|1|0|8|1|0|0
wexx1|WeeX One|dm|1|0|1|1|1|1|2|0|0|5|2|0|6|0|0|2|0|0|0|0|0|0|0|0|6|0|0|0
wh3|The Warehouse District|dm|3|0|3|3|3|0|0|4|9|0|0|0|0|10|0|12|3|2|2|1|1|0|0|0|10|0|0|0
wibble|wibble|dm|1|1|1|1|2|1|2|0|0|4|3|3|4|1|0|15|1|1|2|2|0|0|0|0|6|1|0|0
wilburdm1| Let Them Eat Hay  by  MR ED |dm|1|1|1|2|2|1|2|0|0|6|4|0|4|0|0|6|0|1|1|1|0|0|0|0|6|0|0|0
wilburdm2|the hoarse whisperer by  MR ED |dm|1|0|1|1|1|1|2|0|0|4|0|1|2|1|0|5|0|0|1|1|0|0|0|0|5|4|0|0
wilburdm3|2die2day by  MR ED |dm|2|1|1|2|1|1|8|0|0|11|5|1|5|1|0|10|1|1|1|1|0|0|1|0|8|0|0|0
wilburdm4|HayMaker by  MR ED |dm|2|1|1|1|2|1|8|0|0|10|5|0|7|0|0|10|1|1|1|1|1|0|0|0|7|3|0|0
wilburm1|willacc citec qld gov au|dm|3|2|1|1|1|1|1|1|2|1|0|2|1|1|4|4|1|0|1|1|1|1|1|0|10|1|0|0
wilburm2|Wilbur s Map 2|dm|3|2|1|1|2|1|2|0|0|1|0|0|1|0|5|3|0|0|1|1|1|1|0|0|11|0|0|3
wild| running wild by qurnel |dm|1|0|1|1|2|0|3|0|2|2|0|0|2|1|4|5|2|0|2|2|1|0|0|0|7|1|0|0
wildern|The Wilderness|dm|2|2|2|0|1|0|0|4|4|0|0|0|1|0|1|7|2|0|0|0|1|1|0|0|6|2|0|0
wildg| running wild by qurnel |dm|1|0|1|1|2|0|3|0|1|4|0|0|3|0|3|5|2|1|1|1|1|0|0|0|7|1|0|0
wildtest| running wild by qurnel |dm|1|0|1|1|2|0|3|0|2|2|0|0|2|1|4|5|2|0|2|2|1|0|0|0|7|1|0|0
windp|(null)|dm|1|1|1|0|1|0|3|0|0|5|0|0|2|0|0|4|0|0|0|1|0|0|0|0|6|0|0|0
winter1|A Winter s Find|dm|4|0|2|2|1|1|0|1|4|0|1|0|2|0|4|7|1|1|1|1|1|0|0|0|11|4|0|1
winter2|A Winter s Find|dm|4|0|2|2|2|1|0|1|4|0|1|0|2|0|4|7|1|1|1|1|0|0|0|0|11|4|0|1
witchdm2|WitchDoctor s DM2 Ramp Death|dm|1|2|2|2|3|2|2|0|0|4|4|0|4|0|0|10|0|1|1|1|1|0|1|0|4|0|0|0
witchdm3|Voodoo Death|dm|0|0|1|2|1|1|0|0|0|4|4|0|10|0|0|4|0|0|1|1|1|0|1|0|5|0|0|0
witchdm4|WitchDoctor s Quad Hell Dm4|dm|0|0|0|0|2|0|0|0|0|0|0|0|16|0|0|12|0|0|0|2|4|0|2|0|6|0|0|0
wizbanga|(null)|dm|2|2|1|1|0|0|1|0|0|1|0|0|0|0|0|3|0|1|0|0|1|0|0|0|10|0|0|0
wizlair|the wizard s lair|dm|2|2|1|1|0|1|3|2|0|4|4|0|3|0|0|16|1|1|1|0|0|1|0|0|16|2|0|1
wiztower|The Wizard s Tower|dm|3|2|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|9|2|0|0
wizwell|The Wizard s Well|dm|1|0|1|1|2|0|0|0|1|0|0|0|4|0|0|4|0|0|1|0|0|0|0|0|3|2|0|0
wlotfrag|(null)|dm|2|1|1|1|1|1|8|0|0|8|3|0|4|0|0|6|0|1|1|0|1|1|1|0|16|3|0|0
wndrlnd1|Entering JONLEVEL|dm|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|4|0|0|0|1|0|0|0|0|8|0|0|0
wndrlnd2|Entering WONDERLAND|dm|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|4|0|0|0|1|0|0|0|0|8|0|0|0
wod|World Of Darkness|dm|1|1|0|1|2|0|2|1|2|0|0|0|1|2|0|9|2|0|0|2|1|0|0|0|16|1|0|0
wogan1|Heavy Darkness|dm|0|1|0|1|2|0|0|1|0|2|0|0|2|0|4|8|1|0|1|2|1|0|0|0|12|1|0|0
wogan1a|Heavy Darkness|dm|0|1|0|1|2|0|0|1|0|2|0|0|2|0|4|8|1|0|1|2|1|0|0|0|12|1|0|0
wolfdm2|Paranoia|dm|1|0|1|1|1|1|3|0|0|2|2|0|3|0|0|8|1|0|1|1|0|0|0|0|5|1|0|0
wolvdm1| Wolv s Lair  By  io   L e  N  |dm|1|1|1|1|2|1|1|0|1|3|5|0|6|0|4|10|1|1|2|0|0|0|0|0|13|2|0|0
wombat|(null)|dm|1|1|1|2|2|2|0|0|0|10|3|4|1|3|2|14|2|1|4|1|3|0|0|1|9|1|0|0
womov| War of movement |dm|2|1|1|1|2|1|2|0|0|2|4|0|0|2|0|4|1|1|1|1|1|0|0|0|10|2|0|0
wot|Wheel of Time Arena\by lurker|dm|1|1|1|1|1|1|5|0|0|3|3|0|3|0|0|6|1|2|0|1|0|0|0|0|10|0|0|0
wouldyou|Would You  Um     |dm|1|1|1|2|2|1|6|0|0|4|3|0|4|0|0|10|1|2|1|1|1|0|1|0|14|2|0|0
wpalace|The Water Palace|dm|1|1|1|1|1|1|3|0|0|3|4|0|4|0|3|5|1|1|1|0|0|0|0|0|6|2|0|0
ws_dm1|Wrath of the Spawl   ETB|dm|2|2|1|1|1|0|5|0|0|7|0|0|5|0|0|20|0|0|2|0|1|0|0|0|16|2|0|0
wtd|Welcome to Darkness |dm|0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|6|0|0|0
wtgc|WELCOME TO GIB CITY|dm|1|2|2|2|2|2|10|0|0|17|5|0|8|0|0|9|9|2|1|1|5|4|2|0|8|0|0|0
wthell|Welcome to Hell   By Peter Dey|dm|2|1|1|1|1|1|6|0|0|8|13|1|13|2|0|8|1|3|0|1|1|1|0|0|3|7|0|0
wugland1|Welcome to Wugland  Have a lovely time   And remember   KILL  KILL  KILL |dm|2|1|2|2|1|1|3|0|0|6|2|0|2|0|0|5|0|0|2|0|1|0|1|0|5|0|0|0
wzphbria|Wizphoboria\By Eric  J|dm|1|0|1|1|1|1|0|1|2|0|0|2|1|2|0|7|1|1|0|1|0|0|0|0|5|3|0|0
w_tech1|(null)|dm|1|1|1|1|1|0|2|0|0|3|0|0|5|0|0|5|0|1|1|0|0|1|0|0|7|0|0|1
w_tech2|(null)|dm|0|1|1|2|1|1|0|0|0|6|2|0|6|0|0|4|0|0|0|1|0|0|0|0|5|0|0|0
x-fire|(null)|dm|0|0|1|0|1|1|0|0|0|0|1|0|0|0|0|2|0|0|1|1|1|1|0|0|5|3|0|0
x-pulse0|x pulse 0  The experiment \by Richard Jaspars  c  1997|dm|3|3|3|1|2|1|3|0|0|5|2|0|4|0|0|5|1|1|1|1|1|1|0|0|8|1|0|1
x-pulse1|X Pulse 1 by Richard  Styx  Jaspars|dm|2|1|2|2|2|1|2|0|0|4|2|0|7|0|4|2|1|1|1|1|1|0|0|0|8|4|0|0
x-pulse2|X Pulse 2 by Richard  Styx  Jaspars|dm|4|2|4|2|2|1|5|0|0|4|2|0|5|0|2|5|1|1|1|1|1|1|1|0|6|3|0|0
x-pulse3| The smell of fear |dm|1|1|2|2|2|1|2|0|0|7|2|0|8|0|0|7|1|2|1|1|1|0|0|0|5|4|0|0
xdm4|The Mad Place|dm|2|2|1|2|2|1|2|1|2|5|1|3|3|2|7|4|1|2|1|1|1|0|1|0|7|7|0|0
xdm5|Defender|dm|1|3|1|3|1|1|3|4|2|4|0|2|0|0|0|14|0|2|1|1|1|0|0|0|16|8|0|0
xdme1m7|Aedes Conflictum|dm|1|1|1|2|2|0|4|0|0|4|0|0|2|0|0|17|0|1|0|1|1|0|0|0|9|4|0|0
xdmend|Rath s Pit|dm|1|1|1|1|1|1|0|1|3|1|1|4|0|4|2|13|1|0|0|1|1|0|0|0|6|1|0|0
xdmx_wip06|Training Area|dm|1|1|1|1|2|1|5|0|0|4|2|2|2|0|6|4|1|1|0|1|1|0|1|0|6|5|0|0
xdmx_wip07|Training Area|dm|1|1|1|1|2|1|5|0|0|4|2|2|2|0|8|5|1|1|0|1|1|0|1|0|6|5|0|0
xdmx_wip08|Training Area|dm|1|1|1|1|2|1|5|0|0|4|2|2|2|0|8|5|1|1|0|1|1|0|1|0|6|5|0|0
xdmx_wip09|Training Area|dm|1|1|1|1|2|1|5|0|0|4|2|2|2|0|8|5|1|1|0|1|1|0|1|0|6|5|0|0
xdmx_wip10|Training Area|dm|1|1|1|1|2|1|5|0|0|4|2|2|2|0|8|5|1|1|0|1|1|0|1|0|6|5|0|0
xdmx_wip11|Training Area|dm|1|1|1|1|2|1|5|0|0|4|2|2|2|0|8|5|1|1|0|1|1|1|1|1|6|7|0|0
uw|Unceasing Whines|dm|2|2|1|1|1|1|4|2|0|5|5|1|2|3|6|10|1|2|2|1|1|0|0|0|11|0|0|0
uworld|underworld|dm|2|2|1|1|1|0|5|0|0|7|0|0|0|0|8|6|0|2|1|0|0|0|0|0|6|0|0|0
v0lcan0|Volcano    a rocketman map|dm|2|1|6|2|4|2|1|0|4|3|0|0|5|3|2|6|2|1|1|2|1|0|0|0|8|2|0|0
